Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
32218,7087,2,31/03/2016 0:00,,
32219,7084,2,31/03/2016 0:00,,
32220,7084,5,31/03/2016 0:00,6825,
32221,7393,2,31/03/2016 0:00,,
32222,7390,2,31/03/2016 0:00,,
32223,7390,5,31/03/2016 0:00,6825,
32224,7386,2,31/03/2016 0:00,,
32225,7366,2,31/03/2016 0:00,,
32226,7329,2,31/03/2016 0:00,,
32227,7336,2,31/03/2016 0:00,,
32228,7329,5,31/03/2016 0:00,6825,
32229,7436,2,31/03/2016 0:00,,
32230,7432,2,31/03/2016 0:00,,
32231,7435,2,31/03/2016 0:00,,
32232,7434,2,31/03/2016 0:00,,
32233,7437,2,31/03/2016 0:00,,
32234,7433,2,31/03/2016 0:00,,
32235,6069,2,31/03/2016 0:00,,
32236,7429,2,31/03/2016 0:00,,
32237,7177,2,31/03/2016 0:00,,
32238,7425,2,31/03/2016 0:00,,
32239,7424,2,31/03/2016 0:00,,
32240,7428,2,31/03/2016 0:00,,
32241,7422,2,31/03/2016 0:00,,
32242,7426,2,31/03/2016 0:00,,
32243,7419,2,31/03/2016 0:00,,
32244,7413,2,31/03/2016 0:00,,
32245,7405,2,31/03/2016 0:00,,
32246,7406,2,31/03/2016 0:00,,
32247,7436,2,31/03/2016 0:00,,
32248,7434,5,31/03/2016 0:00,6029,
32249,11,5,31/03/2016 0:00,6029,
32251,3487,5,31/03/2016 0:00,6029,
32253,7434,2,31/03/2016 0:00,,
32254,7432,2,31/03/2016 0:00,,
32255,1470,3,1/04/2016 0:00,,
32256,7440,10,1/04/2016 0:00,,
32257,7434,2,1/04/2016 0:00,,
32258,7247,1,1/04/2016 0:00,,
32259,7441,2,1/04/2016 0:00,,
32261,7435,2,1/04/2016 0:00,,
32262,7437,2,1/04/2016 0:00,,
32263,7441,2,1/04/2016 0:00,,
32264,7288,2,1/04/2016 0:00,,
32265,7439,2,1/04/2016 0:00,,
32266,7438,2,1/04/2016 0:00,,
32267,7441,2,1/04/2016 0:00,,
32269,7443,2,1/04/2016 0:00,,
32270,4100,2,1/04/2016 0:00,,
32271,7444,2,1/04/2016 0:00,,
32272,4101,2,1/04/2016 0:00,,
32273,3686,2,1/04/2016 0:00,,
32274,3799,2,1/04/2016 0:00,,
32275,4082,2,1/04/2016 0:00,,
32276,7443,2,1/04/2016 0:00,,
32277,7444,2,1/04/2016 0:00,,
32278,7445,5,1/04/2016 0:00,3856,
32279,7445,2,1/04/2016 0:00,,
32280,274,2,1/04/2016 0:00,,
32281,1724,2,1/04/2016 0:00,,
32282,3815,2,1/04/2016 0:00,,
32283,269,2,1/04/2016 0:00,,
32284,269,5,1/04/2016 0:00,3424,
32285,7446,2,1/04/2016 0:00,,
32286,6624,2,1/04/2016 0:00,,
32287,562,5,1/04/2016 0:00,10824,
32288,92,2,2/04/2016 0:00,,
32289,92,5,2/04/2016 0:00,90,
32290,318,2,2/04/2016 0:00,,
32291,7450,3,2/04/2016 0:00,,
32292,7450,3,2/04/2016 0:00,,
32293,7450,3,2/04/2016 0:00,,
32294,7450,3,2/04/2016 0:00,,
32295,7434,2,2/04/2016 0:00,,
32296,7450,3,2/04/2016 0:00,,
32297,7450,3,2/04/2016 0:00,,
32298,7450,12,2/04/2016 0:00,,
32299,7450,10,2/04/2016 0:00,,
32300,7446,2,2/04/2016 0:00,,
32301,7447,2,2/04/2016 0:00,,
32303,5646,2,2/04/2016 0:00,,
32304,4517,5,2/04/2016 0:00,5695,
32305,6284,5,2/04/2016 0:00,4308,
32306,7255,5,2/04/2016 0:00,4308,
32307,5892,5,2/04/2016 0:00,4308,
