Id,PostId,VoteTypeId,CreationDate,UserId
6751,1553,16,1392768000,
6752,1562,2,1392768000,
6753,1562,1,1392768000,
6754,1553,5,1392768000,2013
6755,1560,16,1392854400,
6756,1546,2,1392854400,
6757,1562,2,1392854400,
6758,1561,2,1392854400,
6759,1565,2,1392854400,
6760,1561,2,1392854400,
6761,1564,2,1392854400,
6762,1518,16,1392854400,
6763,1554,2,1392854400,
6764,1553,2,1392854400,
6765,1555,2,1392854400,
6766,1566,2,1392854400,
6767,1482,16,1392854400,
6768,1562,2,1392854400,
6769,1353,16,1392854400,
6770,41,16,1392854400,
6771,1260,16,1392854400,
6772,983,16,1392854400,
6773,1567,2,1392854400,
6774,1554,2,1392854400,
6775,1563,2,1392854400,
6776,1532,2,1392854400,
6777,1354,1,1392854400,
6778,1554,2,1392854400,
6779,1551,15,1392940800,
6780,1032,2,1392940800,
6781,1267,2,1392940800,
6782,1551,10,1392940800,
6783,1572,2,1392940800,
6785,1537,16,1392940800,
6786,1537,2,1392940800,
6787,1541,2,1392940800,
6788,1574,2,1392940800,
6789,1576,2,1392940800,
6790,1573,2,1393027200,
6791,620,2,1393027200,
6792,303,2,1393027200,
6793,330,2,1393027200,
6794,302,2,1393027200,
6795,943,2,1393027200,
6796,273,2,1393027200,
6797,1582,2,1393027200,
6798,1578,2,1393027200,
6799,1577,2,1393027200,
6800,1582,2,1393027200,
6801,302,5,1393027200,958
6802,303,2,1393027200,
6803,943,16,1393027200,
6804,302,16,1393027200,
6805,1575,2,1393027200,
6806,1582,2,1393027200,
6807,1576,2,1393027200,
6808,1578,2,1393027200,
6809,1513,2,1393027200,
6810,1584,2,1393027200,
6811,1585,2,1393027200,
6812,1483,1,1393027200,
6813,1554,2,1393027200,
6815,1584,2,1393027200,
6816,1589,2,1393027200,
6817,1591,2,1393027200,
6818,1590,2,1393027200,
6819,1338,2,1393027200,
6820,1589,2,1393027200,
6821,1577,2,1393027200,
6822,1566,2,1393027200,
6823,1591,2,1393027200,
6824,1554,2,1393027200,
6825,1553,2,1393027200,
6826,1562,2,1393027200,
6827,1578,1,1393027200,
6828,1586,2,1393027200,
6829,1583,2,1393027200,
6830,1581,2,1393027200,
6831,1583,1,1393027200,
6832,1585,2,1393027200,
6833,1591,2,1393027200,
6834,1576,2,1393113600,
6835,1594,2,1393113600,
6836,1594,16,1393113600,
6837,1595,2,1393113600,
6838,1554,2,1393113600,
6839,1585,2,1393113600,
6840,1598,15,1393113600,
6841,1598,3,1393113600,
6842,1597,16,1393113600,
6843,1373,2,1393113600,
6844,1578,2,1393113600,
6845,1601,2,1393113600,
6846,1602,2,1393113600,
6847,1602,16,1393113600,
6848,1518,2,1393113600,
6849,1554,2,1393113600,
6850,1603,1,1393113600,
6851,148,2,1393113600,
6852,175,2,1393113600,
6853,1571,2,1393113600,
6854,355,2,1393113600,
6855,1580,2,1393200000,
6856,1605,10,1393200000,
6857,1032,2,1393200000,
6858,324,2,1393200000,
6859,1600,2,1393200000,
6860,562,5,1393200000,458
6861,562,2,1393200000,
6862,1588,2,1393200000,
6863,1056,2,1393200000,
6864,1054,2,1393200000,
6866,1485,2,1393200000,
6867,1486,2,1393200000,
6868,1610,2,1393200000,
6876,1606,15,1393200000,
6877,511,2,1393286400,
6878,511,5,1393286400,2038
6879,1606,15,1393286400,
6880,1613,2,1393286400,
6881,266,2,1393286400,
6882,266,5,1393286400,90
6883,1390,2,1393286400,
6884,1612,2,1393286400,
6885,1612,2,1393286400,
6886,913,2,1393286400,
6887,914,2,1393286400,
6888,1439,2,1393286400,
6889,1544,2,1393286400,
6890,1438,2,1393286400,
6891,989,2,1393286400,
6892,978,2,1393286400,
6893,960,2,1393286400,
6894,1592,2,1393286400,
6895,1587,2,1393286400,
6896,1576,2,1393286400,
6897,1576,2,1393286400,
6898,1576,5,1393286400,90
6899,1513,2,1393286400,
6900,1491,2,1393286400,
6901,1490,2,1393286400,
